taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,151,0,0,0,348,245,121,0,87,0,34,219,291,652,0,0,6
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,55,0,0,0,18,265,33,0,82,0,0,0,24,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,78,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,104
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,11,0,0,0,0,31,0,0,12,0,0,9,33,4,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
